IdNr,GpsNumber,GPSTime,SMSTime,Latitude,Longtitude,BatteryVoltage,GpsDescription,Temperature,GPSIntervals,VHFTelemetry,Activity,GSMSignal,N_satellites,Speed_knots,Altitude,Light,Acc_X,Acc_Y,Acc_Z
1,48500498621,2016-04-01 05:42:55,2016-04-01 08:01:11,39.809016,-4.313683,413,GREF24,14.0,3,0,104,12,,,,,,,
2,48500498621,2016-04-01 06:00:27,2016-04-01 08:01:11,39.808950,-4.313783,413,GREF24,12.0,3,0,104,12,,,,,,,
3,48500498621,2016-04-01 07:00:16,2016-04-01 12:00:53,39.817667,-4.313933,414,GREF24,14.0,3,0,108,11,,,,,,,
4,48500498621,2016-04-01 08:00:16,2016-04-01 12:00:53,39.820217,-4.312883,414,GREF24,15.0,3,0,108,11,,,,,,,
5,48500498621,2016-04-01 09:00:21,2016-04-01 12:00:53,39.804683,-4.293099,414,GREF24,16.0,3,0,108,11,,,,,,,
6,48500498621,2016-04-01 10:00:20,2016-04-01 12:00:53,39.825983,-4.269182,414,GREF24,35.0,3,0,108,11,,,,,,,
7,48500498621,2016-04-01 11:00:09,2016-04-01 16:00:41,39.826917,-4.269716,414,GREF24,33.0,3,0,143,9 ,,,,,,,
8,48500498621,2016-04-01 12:00:30,2016-04-01 16:00:41,39.803750,-4.299666,414,GREF24,29.0,3,0,143,9 ,,,,,,,
9,48500498621,2016-04-01 13:00:14,2016-04-01 16:00:41,39.807683,-4.309400,414,GREF24,25.0,3,0,143,9 ,,,,,,,
10,48500498621,2016-04-01 14:00:13,2016-04-01 16:00:41,39.820700,-4.267932,414,GREF24,35.0,3,0,143,9 ,,,,,,,
11,48500498621,2016-04-01 15:00:10,2016-04-01 20:01:28,39.812933,-4.294816,414,GREF24,24.0,3,0,139,8 ,,,,,,,
12,48500498621,2016-04-01 16:00:27,2016-04-01 20:01:28,39.821017,-4.285333,414,GREF24,22.0,3,0,139,8 ,,,,,,,
13,48500498621,2016-04-01 17:00:19,2016-04-01 20:01:28,39.820933,-4.285899,414,GREF24,32.0,3,0,139,8 ,,,,,,,
14,48500498621,2016-04-01 18:00:26,2016-04-01 20:01:28,39.807000,-4.309633,414,GREF24,22.0,3,0,139,8 ,,,,,,,
15,48500498621,2016-04-02 05:40:50,2016-04-02 10:01:20,39.810566,-4.312966,414,GREF24,12.0,3,0,50,6 ,,,,,,,
16,48500498621,2016-04-02 06:00:22,2016-04-02 10:01:20,39.810400,-4.313316,414,GREF24,13.0,3,0,50,6 ,,,,,,,
17,48500498621,2016-04-02 07:00:14,2016-04-02 10:01:20,39.810683,-4.313350,414,GREF24,36.0,3,0,50,6 ,,,,,,,
18,48500498621,2016-04-02 08:00:29,2016-04-02 10:01:20,39.815866,-4.314083,414,GREF24,19.0,3,0,50,6 ,,,,,,,
19,48500498621,2016-04-02 09:00:10,2016-04-02 14:00:39,39.812566,-4.315600,414,GREF24,17.0,3,0,124,10,,,,,,,
20,48500498621,2016-04-02 10:00:26,2016-04-02 14:00:39,39.820150,-4.294483,414,GREF24,26.0,3,0,124,10,,,,,,,
21,48500498621,2016-04-02 11:00:17,2016-04-02 14:00:39,39.816000,-4.293216,414,GREF24,25.0,3,0,124,10,,,,,,,
22,48500498621,2016-04-02 12:00:10,2016-04-02 14:00:39,39.816133,-4.290666,414,GREF24,27.0,3,0,124,10,,,,,,,
23,48500498621,2016-04-02 13:00:11,2016-04-02 18:01:01,39.822383,-4.283366,414,GREF24,25.0,3,0,107,14,,,,,,,
24,48500498621,2016-04-02 14:00:12,2016-04-02 18:01:01,39.822433,-4.283416,414,GREF24,29.0,3,0,107,14,,,,,,,
25,48500498621,2016-04-02 15:00:15,2016-04-02 18:01:01,39.822433,-4.283032,414,GREF24,40.0,3,0,107,14,,,,,,,
26,48500498621,2016-04-02 16:00:23,2016-04-02 18:01:01,39.822450,-4.284049,414,GREF24,31.0,3,0,107,14,,,,,,,
27,48500498621,2016-04-02 17:00:24,2016-04-03 08:00:59,39.824633,-4.280482,413,GREF24,25.0,3,0,103,8 ,,,,,,,
28,48500498621,2016-04-02 18:00:26,2016-04-03 08:00:59,39.822500,-4.283733,413,GREF24,25.0,3,0,103,8 ,,,,,,,
29,48500498621,2016-04-03 05:45:01,2016-04-03 08:00:59,39.809116,-4.309833,413,GREF24,18.0,3,0,103,8 ,,,,,,,
30,48500498621,2016-04-03 06:00:14,2016-04-03 08:00:59,39.809150,-4.309800,413,GREF24,18.0,3,0,103,8 ,,,,,,,
31,48500498621,2016-04-03 07:00:21,2016-04-03 12:01:32,39.813700,-4.304250,414,GREF24,19.0,3,0,123,11,,,,,,,
32,48500498621,2016-04-03 08:00:23,2016-04-03 12:01:32,39.810766,-4.307166,414,GREF24,19.0,3,0,123,11,,,,,,,
33,48500498621,2016-04-03 09:00:15,2016-04-03 12:01:32,39.813133,-4.300866,414,GREF24,22.0,3,0,123,11,,,,,,,
34,48500498621,2016-04-03 10:00:28,2016-04-03 12:01:32,39.812050,-4.306816,414,GREF24,23.0,3,0,123,11,,,,,,,
35,48500498621,2016-04-03 11:00:29,2016-04-03 16:01:08,39.806900,-4.309600,414,GREF24,24.0,3,0,152,12,,,,,,,
36,48500498621,2016-04-03 12:00:23,2016-04-03 16:01:08,39.806416,-4.310116,414,GREF24,28.0,3,0,152,12,,,,,,,
37,48500498621,2016-04-03 13:00:27,2016-04-03 16:01:08,39.811500,-4.311033,414,GREF24,25.0,3,0,152,12,,,,,,,
38,48500498621,2016-04-03 14:00:27,2016-04-03 16:01:08,39.811500,-4.311083,414,GREF24,24.0,3,0,152,12,,,,,,,
39,48500498621,2016-04-03 15:00:21,2016-04-03 20:00:53,39.811533,-4.311083,414,GREF24,23.0,3,0,80,10,,,,,,,
40,48500498621,2016-04-03 16:00:23,2016-04-03 20:00:53,39.811516,-4.311083,414,GREF24,25.0,3,0,80,10,,,,,,,
