Tx Date	Tx Time	PTT Date	PTT Time	Satellite ID	Activity	Tx Count	Temperature (°C)	Battery Voltage (V)	GPS fix time	Satellite Count	Hours Since Reset	Days since GPS fix	Season	Shunt	Mortality GT	Seasonal GT
2016-03-20	14:13:12	2016-03-20	14:13:11	P	 16	 31	21.1	4.03	24	10	63	 0	 0	0	0	0
2016-03-20	14:21:09	2016-03-20	14:21:12	P	 17	  0	26.6	3.99	24	10	63	 0	 0	0	0	0
2016-03-20	17:23:46	2016-03-20	17:23:46	N	  4	 16	21.1	3.99	28	 9	63	 0	 0	0	0	0
2016-03-20	17:39:42	2016-03-20	17:39:43	K	  4	 18	23.1	3.99	28	 9	63	 0	 0	0	0	0
2016-03-20	21:12:30	2016-03-28	21:12:30	B	  8	 18	18.5	3.93	41	 6	63	 0	 0	0	0	0
2016-03-20	22:00:06	2016-03-20	22:00:06	A	  8	  8	17.9	3.91	41	 6	63	 0	 0	0	0	0
2016-03-22	05:49:49	2016-03-22	05:49:50	P	 14	 12	28.9	3.91	30	 4	63	 1	 0	0	0	0
2016-03-22	18:24:23	2016-03-22	18:24:23	K	 22	 16	23.1	4.01	16	 7	63	 0	 0	0	0	0
2016-03-22	18:40:20	2016-03-22	18:40:20	N	 22	 18	23.1	3.99	16	 7	63	 0	 0	0	0	0
2016-03-22	21:16:15	2016-03-22	21:16:15	A	 26	 27	23.1	3.97	36	 6	63	 0	 0	0	0	0
2016-03-24	06:52:31	2016-03-24	06:52:34	N	 10	 12	18.5	3.89	39	 5	63	 1	 0	0	0	0
2016-03-24	10:56:52	2016-03-24	10:56:52	A	  2	  0	25.9	4.01	41	 8	63	 0	 0	0	0	0
2016-03-26	07:11:05	2016-03-26	07:11:07	K	 16	  9	20.5	3.97	39	 7	63	 1	 0	0	0	0
2016-03-26	14:53:09	2016-03-26	14:53:09	P	 14	  8	26.6	3.99	12	 9	63	 0	 0	0	0	0
2016-03-26	16:27:38	2016-03-26	16:27:37	P	 18	 13	25.2	3.97	39	 8	63	 0	 0	0	0	0
2016-03-26	17:55:47	2016-03-26	17:55:46	N	 18	 24	25.2	3.95	39	 8	63	 0	 0	0	0	0
2016-03-28	17:26:51	2017-03-28	17:26:51	N	 13	 18	20.5	3.97	90	 5	18	26	 2	1	1	1
2016-03-28	18:39:45	2016-03-28	18:39:45	R	 24	 27	26.6	3.95	42	 8	63	 0	 0	0	0	0
2016-03-28	19:11:47	2016-03-28	19:11:47	N	 24	 31	25.9	3.93	42	 8	63	 0	 0	0	0	0
2016-03-28	21:47:51	2016-03-28	21:47:51	B	 24	  8	25.9	3.91	29	 4	63	 0	 0	0	0	0
2016-03-30	02:37:06	2016-03-30	02:37:08	P	 26	 28	26.6	3.97	28	 5	63	 1	 0	0	0	0
2016-03-30	04:19:41	2016-03-30	04:19:43	P	 28	  2	25.9	3.95	28	 5	63	 1	 0	0	0	0
2016-03-30	05:24:07	2016-03-30	05:24:09	R	 28	 10	26.6	3.93	28	 5	63	 1	 0	0	0	0
2016-03-30	18:23:24	2016-03-30	18:23:23	K	 28	 17	25.9	4.01	36	 8	63	 0	 0	0	0	0
2016-03-30	21:47:54	2016-03-30	21:47:53	A	  8	  0	26.6	3.97	41	 4	63	 0	 0	0	0	0
2016-03-30	21:55:58	2016-03-30	21:55:58	A	  8	  1	26.6	3.97	41	 4	63	 0	 0	0	0	0
2016-04-01	02:20:58	2016-04-01	02:20:59	P	 10	 18	32.0	3.99	33	 8	63	 1	 0	0	0	0
2016-04-01	06:02:21	2016-04-01	06:02:23	R	 19	  7	21.1	3.93	33	 8	63	 1	 0	0	0	0
2016-04-01	06:58:33	2016-04-01	06:58:35	N	 30	 14	26.6	3.91	33	 8	63	 1	 0	0	0	0
2016-04-03	06:37:24	2016-04-03	06:37:26	R	 20	  6	19.8	3.97	44	 5	63	 1	 0	0	0	0
2016-04-03	09:13:02	2016-04-03	09:13:04	A	 25	 15	17.9	3.95	44	 5	63	 1	 0	0	0	0
2016-04-03	10:50:10	2016-04-03	10:50:09	A	 10	 27	20.5	3.99	43	 6	63	 0	 0	0	0	0
2016-04-03	15:00:39	2016-04-03	15:00:39	P	 26	 10	24.5	4.01	25	11	63	 0	 0	0	0	0
2016-04-05	14:33:14	2016-04-05	14:01:14	P	 20	  4	-20.7	4.05	29	 8	63	 0	 0	1	0	0
2016-04-05	14:41:18	2016-04-05	14:41:18	P	 20	  5	23.8	4.05	29	 8	63	 0	 0	1	0	0
2016-04-05	16:15:03	2016-04-05	16:15:02	P	 24	 10	36.3	4.01	21	 7	63	 0	 0	0	0	0
2016-04-05	17:35:03	2016-04-05	17:35:02	K	 24	 20	47.1	4.03	21	 7	63	 0	 0	0	0	0
2016-04-05	17:42:57	2016-04-05	17:42:56	N	 24	 21	47.1	4.01	21	 7	63	 0	 0	0	0	0
2016-04-05	21:31:45	2016-04-05	21:31:45	A	  4	  7	28.9	3.97	39	 6	63	 0	 0	0	0	0
2016-04-07	21:47:10	2016-04-07	20:47:11	B	 22	  1	28.9	3.97	38	 6	63	 0	 0	0	0	0
2016-04-07	22:26:52	2016-04-07	22:26:53	A	 26	  6	28.9	3.95	38	 6	63	 0	 0	0	0	0
