Date	Time	Fix	Lat1(N)	Long1(E)	Lat2(N)	Long2(E)	MsgCount	Frequency	Average TI	Satellite	Max Str	Swapped
2016-03-19	20:42:26	A	 40.655	  -4.370	 43.776	  11.628	  3	662822.1	 60.0	A	-118	
2016-03-19	21:36:29	2	 40.655	  -4.367	 38.903	 -12.907	  6	662826.3	 60.0	B	-124	
2016-03-19	22:24:01	1	 40.640	  -4.379	 34.185	 -35.734	  6	662819.2	 60.2	A	-121	
2016-03-20	02:49:43	3	 40.657	  -4.377	 37.581	  10.411	  5	662823.9	 60.0	P	-125	
2016-03-21	20:40:40	B	 40.512	  -4.536	 50.105	 -56.253	  2	662829.2	180.0	R	-133	
2016-03-21	20:51:11	3	 40.507	  -4.531	 42.748	   7.095	  5	662829.2	 60.3	B	-125	
2016-03-21	21:39:43	3	 40.508	  -4.526	 38.231	 -16.031	 10	662828.7	 60.0	A	-116	
2016-03-22	02:28:27	A	 40.506	  -4.526	 35.178	  21.338	  3	662830.6	 60.0	P	-126	
2016-03-22	04:10:32	3	 40.508	  -4.526	 44.814	 -26.308	  6	662830.2	 60.0	P	-128	
2016-03-23	20:59:26	1	 40.509	  -4.535	 42.102	   3.564	  6	662798.8	 60.2	A	-116	
2016-03-23	21:54:58	B	 40.470	  -4.536	 36.564	 -21.470	  2	662798.8	 60.0	B	-129	
2016-03-23	22:39:01	0	 40.488	  -4.497	 32.529	 -44.007	  4	662805.0	108.0	A	-124	
2016-03-24	03:45:45	3	 40.509	  -4.525	 42.718	 -15.375	  7	662762.7	 60.0	P	-127	
2016-03-25	21:08:41	0	 40.509	  -4.502	 41.152	  -1.207	  6	662809.8	 60.0	B	-124	
2016-03-25	21:57:13	3	 40.507	  -4.528	 36.582	 -24.258	 10	662781.8	 60.1	A	-117	
2016-03-26	03:23:28	Z	 40.567	  -4.816	 40.635	  -5.153	  8	662820.7	 60.0	P	-122	
2016-03-27	20:49:24	1	 40.516	  -4.535	 51.206	 -62.026	  6	662795.9	 60.0	R	-127	
2016-03-27	21:17:26	Z	 40.469	  -4.725	 40.467	  -4.734	  6	662805.2	 60.0	A	-118	
2016-03-27	22:08:28	B	 40.531	  -4.535	 35.665	 -28.978	  2	662789.2	 60.0	B	-129	
2016-03-27	22:57:00	1	 40.517	  -4.532	 30.917	 -52.045	  7	662796.0	 60.0	A	-120	
2016-03-28	03:00:12	2	 40.502	  -4.530	 38.291	   6.186	  6	662794.8	 60.0	P	-124	
2016-03-29	20:34:08	2	 40.798	  -4.627	 44.589	  14.894	 10	662802.6	 60.1	A	-118	
2016-03-29	21:25:10	1	 40.800	  -4.617	 54.563	 -80.218	  5	662811.9	 60.0	R	-129	
2016-03-29	21:27:10	0	 40.799	  -4.623	 39.662	  -9.824	 10	662805.8	 60.0	B	-125	
2016-03-29	22:12:12	2	 40.790	  -4.627	 35.357	 -32.371	 13	662809.6	 60.0	A	-119	
2016-03-30	02:38:55	1	 40.789	  -4.610	 36.319	  17.361	  5	662780.6	 60.1	P	-129	
2016-03-30	04:17:29	3	 40.798	  -4.633	 46.017	 -30.261	  8	662782.4	 60.0	P	-129	
2016-03-31	20:47:23	B	 40.512	  -4.450	 43.311	   9.983	  2	662782.3	240.0	B	-129	
2016-03-31	21:34:55	1	 40.524	  -4.488	 38.854	 -12.787	  8	662770.8	 60.1	A	-116	
2016-03-31	23:15:30	A	 40.809	  -4.457	 29.393	 -60.315	  3	662653.9	 60.0	A	-129	
2016-04-01	03:54:43	3	 40.511	  -4.520	 43.650	 -19.794	  8	662780.9	 60.1	P	-125	
2016-04-02	20:52:38	3	 40.509	  -4.533	 42.748	   6.836	  7	662816.6	 60.0	A	-119	
2016-04-02	21:01:38	1	 40.524	  -4.571	 52.006	 -67.647	  4	662806.5	 60.3	R	-127	
2016-04-02	21:47:10	0	 40.502	  -4.537	 37.890	 -17.325	  4	662794.8	 60.2	B	-123	
2016-04-02	22:33:42	1	 40.514	  -4.523	 33.108	 -40.627	  8	662804.7	 60.0	A	-119	
2016-04-03	03:32:56	3	 40.506	  -4.525	 41.397	  -8.872	  6	662779.3	 60.0	P	-123	
2016-04-04	21:02:23	2	 40.508	  -4.528	 41.787	   1.982	  5	662824.1	 60.0	B	-125	
2016-04-04	21:50:25	3	 40.508	  -4.528	 37.229	 -20.982	  7	662822.7	 60.1	A	-116	
2016-04-05	03:11:10	3	 40.508	  -4.529	 39.205	   1.856	  7	662821.4	 60.0	P	-122	
2016-04-06	21:11:38	Z	 40.502	  -4.578	 41.195	  -1.133	  4	662811.5	 60.3	A	-117	
2016-04-06	22:49:12	2	 40.505	  -4.530	 31.673	 -48.800	  6	662803.1	 60.0	A	-122	
2016-04-07	02:48:54	A	 40.506	  -4.530	 36.971	  12.660	  3	662827.6	100.0	P	-126	
2016-04-07	04:29:28	2	 40.508	  -4.528	 46.526	 -34.985	  8	662826.3	 60.0	P	-127	
