Date	Time	Latitude(N)	Longitude(E)	Speed	Course	Altitude(m)
2016-03-16	15:00	 39.30950	  -6.64950	 26	243	 484
2016-03-16	17:00	 39.30733	  -6.64917	  0	312	 425
2016-03-16	19:00	 39.30733	  -6.64917	  0	332	 426
2016-03-17	09:00	 39.30733	  -6.64917	  0	226	 415
2016-03-17	11:00	 39.30733	  -6.64917	  0	301	 413
2016-03-17	13:00	 39.30733	  -6.64933	  0	243	 416
2016-03-17	15:00	 39.11017	  -6.66267	 30	225	 399
2016-03-17	17:00	 39.09617	  -6.77017	  0	183	 250
2016-03-17	19:00	 39.09183	  -6.77167	  0	130	 251
2016-03-18	15:00	 39.09150	  -6.77150	  0	  0	 233
2016-03-18	17:00	 39.09183	  -6.77150	  0	200	 267
2016-03-18	19:00	 39.09167	  -6.77167	  0	296	 248
2016-03-19	09:00	 39.09167	  -6.77150	  0	232	 248
2016-03-19	11:00	 39.07100	  -6.65117	 38	337	 470
2016-03-19	13:00	 39.30733	  -6.64917	  0	352	 429
2016-03-19	15:00	 39.30717	  -6.64933	  0	 44	 420
2016-03-19	17:00	 39.30733	  -6.64917	  0	219	 430
2016-03-19	19:00	 39.30733	  -6.64917	  0	 48	 428
2016-03-20	09:00	 39.30733	  -6.64917	  0	 59	 419
2016-03-20	11:00	 39.30733	  -6.64917	  0	180	 439
2016-03-20	13:00	 39.30733	  -6.64917	  0	 24	 420
2016-03-20	15:00	 39.30733	  -6.64933	  0	222	 419
2016-03-20	17:00	 39.30800	  -6.65283	  0	133	 370
2016-03-20	19:00	 39.30750	  -6.64933	  0	253	 377
2016-03-21	10:00	 39.30717	  -6.64917	  0	298	 383
2016-03-21	12:00	 39.30733	  -6.64917	  0	 89	 389
2016-03-21	14:00	 39.30717	  -6.64933	  0	 60	 415
2016-03-21	16:00	 39.30733	  -6.64917	  0	 60	 426
2016-03-21	18:00	 39.30733	  -6.64917	  0	112	 432
2016-03-21	20:00	 39.30717	  -6.64933	  0	189	 420
2016-03-22	10:00	 39.30733	  -6.64917	  0	149	 425
2016-03-22	12:00	 39.21467	  -6.66350	 31	288	 465
2016-03-22	14:00	 39.08317	  -6.68250	 38	232	 425
2016-03-22	16:00	 39.30733	  -6.64917	  0	146	 411
2016-03-22	18:00	 39.30733	  -6.64933	  0	309	 444
2016-03-22	20:00	 39.30717	  -6.64917	  0	284	 410
2016-03-23	10:00	 39.30733	  -6.64933	  0	190	 426
2016-03-23	12:00	 39.03833	  -6.71650	 36	171	 407
2016-03-23	14:00	 39.16317	  -6.74283	 29	265	 595
2016-03-23	16:00	 39.30800	  -6.65250	  0	259	 390
2016-03-23	18:00	 39.30800	  -6.65267	  0	107	 417
2016-03-23	20:00	 39.30783	  -6.65267	  0	121	 398
2016-03-24	10:00	 39.29267	  -6.66150	 39	324	 581
2016-03-24	12:00	 39.30733	  -6.64933	  0	253	 425
2016-03-24	14:00	 39.30733	  -6.64933	  0	310	 425
2016-03-24	16:00	 39.30733	  -6.64917	  0	209	 425
2016-03-24	18:00	 39.30733	  -6.64933	  0	310	 425
2016-03-24	20:00	 39.30733	  -6.64917	  0	173	 425
2016-03-25	10:00	 39.30683	  -6.65033	 31	149	 441
2016-03-25	12:00	 39.31650	  -6.64900	 40	336	 560
2016-03-25	14:00	 39.30733	  -6.64917	  0	253	 430
2016-03-25	16:00	 39.30733	  -6.64933	  0	194	 425
2016-03-25	18:00	 39.30717	  -6.64917	  0	282	 419
2016-03-25	20:00	 39.30717	  -6.64933	  0	222	 410
2016-03-26	10:00	 39.30733	  -6.64933	  0	222	 422
2016-03-26	12:00	 39.30733	  -6.64933	  0	241	 427
2016-03-26	14:00	 39.29917	  -6.66167	  0	 96	 345
2016-03-26	16:00	 39.30783	  -6.65267	  0	301	 400
2016-03-26	18:00	 39.30783	  -6.65267	  0	337	 407
2016-03-26	20:00	 39.30800	  -6.65267	  0	284	 411
2016-03-27	10:00	 39.30733	  -6.64917	  0	207	 427
2016-03-27	12:00	 39.30733	  -6.64933	  0	356	 427
2016-03-27	14:00	 39.28217	  -6.67183	  0	192	 335
2016-03-27	16:00	 39.30733	  -6.64933	  0	259	 437
2016-03-27	18:00	 39.30750	  -6.64933	  0	290	 412
2016-03-27	20:00	 39.30733	  -6.64933	  0	278	 412
2016-03-28	10:00	 39.30017	  -6.66917	  0	113	 401
2016-03-28	12:00	 39.30717	  -6.64917	  0	241	 474
2016-03-28	14:00	 39.30800	  -6.65250	  0	340	 399
2016-03-28	16:00	 39.30717	  -6.65100	  0	335	 407
2016-03-28	18:00	 39.30817	  -6.65250	  0	339	 347
2016-03-28	20:00	 39.30783	  -6.65267	  0	128	 395
2016-03-29	10:00	 39.30767	  -6.65083	 37	101	 436
2016-03-29	12:00	 39.30733	  -6.64917	  0	 47	 424
2016-03-29	14:00	 39.30733	  -6.64917	  0	162	 424
2016-03-29	16:00	 39.29567	  -6.65550	 44	311	 680
2016-03-29	18:00	 39.30783	  -6.65267	  0	348	 401
2016-03-29	20:00	 39.30783	  -6.65267	  0	347	 383
2016-03-30	10:00	 39.30733	  -6.64917	  0	230	 430
2016-03-30	12:00	 39.30733	  -6.64917	  0	341	 432
2016-03-30	14:00	 39.28367	  -6.66967	  0	 52	 346
2016-03-30	16:00	 39.30733	  -6.64917	  0	224	 428
2016-03-30	18:00	 39.30733	  -6.64917	  0	356	 425
2016-03-30	20:00	 39.30067	  -6.67133	  0	296	 352
2016-03-31	10:00	 39.30733	  -6.64917	  0	294	 422
2016-03-31	12:00	 39.30733	  -6.64917	  0	 24	 426
2016-03-31	14:00	 39.30733	  -6.64917	  0	 16	 423
2016-03-31	16:00	 39.30733	  -6.64917	  0	213	 432
2016-03-31	18:00	 39.30733	  -6.64917	  0	224	 429
2016-03-31	20:00	 39.30733	  -6.64917	  0	173	 423
2016-04-01	10:00	 39.30733	  -6.64917	  0	 12	 431
2016-04-01	12:00	 39.10083	  -6.67467	 82	169	 839
2016-04-01	14:00	 39.30800	  -6.65267	  0	268	 404
2016-04-01	16:00	 39.30717	  -6.64933	  0	128	 428
2016-04-01	18:00	 39.30717	  -6.64933	  0	279	 423
2016-04-01	20:00	 39.30783	  -6.65267	  0	 73	 368
2016-04-02	10:00	 39.30733	  -6.64917	  0	224	 428
2016-04-02	12:00	 39.30733	  -6.64917	  0	291	 423
2016-04-02	14:00	 39.30733	  -6.64933	  0	224	 439
2016-04-02	16:00	 39.30733	  -6.64917	  0	249	 427
2016-04-03	10:00	 39.30783	  -6.65033	 46	353	 439
2016-04-03	12:00	 39.30733	  -6.64933	  0	260	 418
2016-04-03	14:00	 39.14133	  -6.67633	 26	316	 382
2016-04-03	16:00	 39.30733	  -6.64933	  0	 84	 419
2016-04-03	18:00	 39.30717	  -6.64917	  0	308	 430
2016-04-03	20:00	 39.30733	  -6.64933	  0	270	 412
2016-04-04	10:00	 39.30733	  -6.64917	  0	199	 427
2016-04-04	12:00	 39.30733	  -6.64933	  0	330	 431
2016-04-04	14:00	 39.30733	  -6.64917	  0	354	 427
2016-04-04	16:00	 39.30733	  -6.64933	  0	151	 428
2016-04-04	18:00	 39.30733	  -6.64917	  0	279	 422
2016-04-04	20:00	 39.30733	  -6.64933	  0	136	 420
2016-04-05	10:00	 39.30733	  -6.64917	  0	202	 440
2016-04-05	12:00	 39.30733	  -6.64917	  0	290	 423
2016-04-05	14:00	 39.39133	  -6.55167	 20	 16	 937
2016-04-05	16:00	 39.30733	  -6.64933	  0	198	 406
2016-04-05	18:00	 39.30733	  -6.64917	  0	256	 424
2016-04-05	20:00	 39.30733	  -6.64933	  0	  9	 424
2016-04-06	10:00	 39.12000	  -6.68283	 53	152	 683
2016-04-06	12:00	 39.13150	  -6.57317	  1	266	 339
2016-04-06	14:00	 39.16017	  -6.60850	 46	313	 923
2016-04-06	16:00	 39.30733	  -6.64917	  0	205	 421
2016-04-06	18:00	 39.30733	  -6.64917	  0	235	 449
2016-04-06	20:00	 39.30717	  -6.64933	  0	232	 446
2016-04-07	10:00	 39.30733	  -6.64917	  0	298	 429
2016-04-07	12:00	 39.30733	  -6.64917	  0	333	 433
2016-04-07	14:00	 39.30733	  -6.64933	  0	  8	 430
